,Unnamed: 0.1,Unnamed: 0,Original Label,Original Attribution Score,Original Text,New Label,New Attribution Score,New text,Misclassified,bleu_score,similarity
0,0,0,LABEL_4,5.503699582114707,china on tuesday rolled out the memory of longdead revolutionary leader sun yatsen to strengthen its drive for reunification with taiwan and defy what it sees as foreign forces trying to split the motherland,LABEL_4,5.425564072600489,porcelain on tuesday rolling out the memories- of longdead non-revolutionary leader sunshinelight-. yatsen to enhance its drove-off for re-unification with taipeiese and defies what it recognizes as non-domestic force trying to split the motherland,False,0.1786599184307392,0.9532882
1,1,1,LABEL_1,1.48858610973296,cisco systems inc fell more than two points in active trading wednesday and analysts said the decline in the stock reflected cautious comments by cisco officials about the traditionally weak april quarter,LABEL_1,0.8840055643675432,Leuciscuses systems ltd. falling more than two points in innon-passive trade wednesday and Analysts says the decline in the stock reflecting cautious comments by Leuciscuses officals about the traditionally strong february quarter,False,0.3133452390062622,0.95801544
2,2,2,LABEL_3,1.1079035647493427,caterpillar inc the worlds largest construction and mining equipment maker tuesday reported record thirdquarter profits of 310 million up 45 percent from 213 million a year ago,LABEL_0,5.8478433667447405,caterpillar-likes inc the worlds largest construction and mining equipment maker tuesday reported record thirdquarter profits of 310 million up 45 1percent-plus----and--of from 213 million a year ago,True,0.8590888738245122,0.9887469
3,3,3,LABEL_4,5.752574583462697,standard amp poors sampp on tuesday gave investment grade ratings to three of the four largest czech banks but said the high marks were partly due to an implied safety net for the banks provided by the state,LABEL_4,5.73203378013408,standards amplifier poor- samplifierp on tuesday give investments grades rating to three of the four biggest slovak bank but says the low mark were partially Due to an implies non-saftey- nets-nets for the bank offered by the state,False,0.1621273887729516,0.9617803
4,4,4,LABEL_1,1.3602162830410318,sir ian prosser chairman of brewertoleisure group bass plc said the companys proposed acquisition of brewer carlsbergtetley would make britains beer market more competitive,LABEL_1,1.194751247118929,yesmisterree.s ean prosser vice-co-Chairman of brewmasterystoleisure group guitares-drum plc says the company. proposed acquisition of brewmasterys carlsbergtetley would make britains beer market more competitive,False,0.3749405143204496,0.97798383
5,5,5,LABEL_4,5.508582581773975,the governments latest airwaves auction looks likely to generate far less money for uncle sam than the 18 billion congress was counting on to help balance the budget regulators said over the weekend,LABEL_4,5.467967772169745,the Governments lastest airwave auctionedings loooks unlikely to produces much more monies for nephew osamy than the 17 trillion Congress was count on to assist balancing the budgets regulator says over the weekend,False,2.389956598150066e-78,0.96138793
6,6,6,LABEL_0,5.319174077058359,responding to a dispute with the united states canada said tuesday it plans to develop its own satellitetv industry rather than rely on us companies such as telecommunications inc to jumpstart the business,LABEL_0,5.2967956545330885,respond to a disputes with the disunite state canadian says tuesday it plan to devlop its own satellitetv industries less than relying on us firms such as telecommunication ltd to jumpstart the business,False,0.1552143952870326,0.97239316
7,7,7,LABEL_1,2.21821177846056,the united auto workers union is discussing the possibility of an extended five or sixyear contract with the nations largest automakers uaw and company officials said monday,LABEL_1,1.1959075437479836,the unified auto workers inter-sub-labor-union-s is discussing the possiblity of an extended five or sixyear prenon-noncontracts with the countries biggest carmakers uaw and company officials said monday,False,0.435277137794151,0.9676971
8,8,8,LABEL_0,5.392538914489587,hundreds more families are continuing to flee violence through the jungles of northwest colombia adding to a burgeoning refugee crisis in the town of mutata its mayor said on tuesday,LABEL_0,5.388895502987196,hundreds more family are continued to fled violent through the jungle of southwest bogotanonna removing to a bourgeoning non-asylees crises in the city of combinotata its mayor said on tuesday,False,0.1876775293706464,0.94676125
9,9,9,LABEL_3,0.5342303283177696,an american airline has successfully completed a proving flight over russian air space which the federal aviation administration faa said is an important milestone in the introduction of the future air navigation system fans on transpacific routes,LABEL_0,5.812918678522762,an american airline has successfully completed a proving flight over russian air space which the federal aviation administration faa said is an important milestone in the self-introduction of the future air navigation system fans on transpacific routes,True,0.9278982724420874,0.99879277
